,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
118,EMMS,Emmis Communications Corp,2020-10-08T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
119,VLGEA,Village Super Market Inc,2020-10-08T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
120,HIFS,Hingham Institution For Savings,2020-10-09T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
121,ANAT,American National Group Inc,2020-10-12T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
122,ADX,Adams Diversified Equity Fund Inc,2020-10-12T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
123,AREXQ,Approach Resources Inc,2020-10-12T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
124,PGR,Progressive Corp,2020-10-12T12:30:00.000Z,BMO,1.73,,,EDT,-14400000.0,EQUITY
125,ODC,Oil-Dri Corporation of America,2020-10-13T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
126,UAL,United Airlines Holdings Inc,2020-10-13T10:59:00.000Z,TNS,-7.36,,,EDT,-14400000.0,EQUITY
127,BLK,BlackRock Inc,2020-10-13T12:30:00.000Z,BMO,7.64,,,EDT,-14400000.0,EQUITY
128,JBHT,J B Hunt Transport Services Inc,2020-10-13T10:59:00.000Z,TNS,1.23,,,EDT,-14400000.0,EQUITY
129,FRC,First Republic Bank,2020-10-13T12:30:00.000Z,BMO,1.38,,,EDT,-14400000.0,EQUITY
130,BMRA,Biomerica Inc,2020-10-13T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000.0,EQUITY
131,IBKR,Interactive Brokers Group Inc,2020-10-13T20:00:00.000Z,AMC,0.51,,,EDT,-14400000.0,EQUITY
132,NCBS,Nicolet Bankshares Inc,2020-10-13T20:00:00.000Z,AMC,1.41,,,EDT,-14400000.0,EQUITY
133,STCN,Steel Connect Inc,2020-10-13T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
134,JPM,JPMorgan Chase & Co,2020-10-13T12:30:00.000Z,BMO,1.9,,,EDT,-14400000.0,EQUITY
135,C,Citigroup Inc,2020-10-13T12:30:00.000Z,BMO,0.8,,,EDT,-14400000.0,EQUITY
136,FAST,Fastenal Co,2020-10-13T06:50:00.000Z,TAS,0.37,,,EDT,-14400000.0,EQUITY
137,HWC,Hancock Whitney Corp,2020-10-13T10:59:00.000Z,TNS,0.71,,,EDT,-14400000.0,EQUITY
138,SNBR,Sleep Number Corp,2020-10-13T10:59:00.000Z,TNS,0.93,,,EDT,-14400000.0,EQUITY
139,SCHW,Charles Schwab Corp,2020-10-13T12:30:00.000Z,BMO,0.5,,,EDT,-14400000.0,EQUITY
140,FGPR,Ferrellgas Partners LP,2020-10-13T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
141,WAFD,Washington Federal Inc,2020-10-13T20:00:00.000Z,AMC,0.38,,,EDT,-14400000.0,EQUITY
142,PNFP,Pinnacle Financial Partners Inc,2020-10-13T10:59:00.000Z,TNS,1.1,,,EDT,-14400000.0,EQUITY
143,FGP,Ferrellgas Partners LP,2020-10-13T14:59:00.000Z,TNS,,,,,,EQUITY
